ĀQ	阿Q
fēngzuàn	风钻
fēngbì	封闭
fēngcún	封存
fēngdǐ	封底
fēngdòng	封冻
fēngguānxǔyuàn	封官许愿
fēnghào	封号
fēngjiàn	封建
fēngjiàngējù	封建割据
fēngjiànlǐjiào	封建礼教
fēngjiànmíxìn	封建迷信
fēngjiànshèhuì	封建社会
fēngjiànwángcháo	封建王朝
fēngjiànzhìdù	封建制度
fēngjiànzhǔyì	封建主义
fēngmiàn	封面
fēngní	封泥
fēngqī	封妻
fēngqīyìnzǐ	封妻荫子
fēngshān	封山
fēngshānyùlín	封山育林
fēngsuǒ	封锁
fēngzhǎng	疯长
fēngkuáng	疯狂
fēnghuílùzhuǎn	峰回路转
fēnghuì	峰会
fēngluán	峰峦
fēnghuǒliántiān	烽火连天
fēnglì	锋利
fēngmáng	锋芒
fēngmángbīrén	锋芒逼人
fēngmángbìlù	锋芒毕露
fēngmángbùlù	锋芒不露
fēngmángsuǒxiàng	锋芒所向
fēnglà	蜂蜡
fēngtúnyǐjù	蜂屯蚁聚
fēngwáng	蜂王
fēngwángjiāng	蜂王浆
fēngwángjīng	蜂王精
fēngyōngérlái	蜂拥而来
féngchǎngzuòxì	逢场作戏
féngniánguòjié	逢年过节
féngrénshuōxiàng	逢人说项
féngrénzhǐshuōsānfēnhuà	逢人只说三分话
féngshānkāilù	逢山开路
féngxiōnghuàjí	逢凶化吉
féngbǔ	缝补
féngféng	缝缝
féngféngbǔbǔ	缝缝补补
fénghàn	缝焊
fénghé	缝合
fénghéxiàn	缝合线
féngqióng	缝穷
féngrèn	缝纫
féngrènjī	缝纫机
fèngxì	缝隙
féngxiàn	缝线
féngyīzhēn	缝衣针
féngzhì	缝制
fèngzi	缝子
fěngcì	讽刺
fèngguàn	凤冠
fèngguānxiápèi	凤冠霞帔
fèngmáolínjiǎo	凤毛麟角
fèngwěicǎo	凤尾草
fèngwěimó	凤尾蘑
fèngwěiyú	凤尾鱼
fèngwěizhú	凤尾竹
fèngdiào	奉调
fènggào	奉告
fènggōngshǒufǎ	奉公守法
fènghuán	奉还
fèngmìng	奉命
fèngmìngwéijǐn	奉命唯谨
fèngpéi	奉陪
fèngpéidàodǐ	奉陪到底
fèngquàn	奉劝
fèngruòshénmíng	奉若神明
fèngsòng	奉送
fèngwéiguīniè	奉为圭臬
fèngwéikǎimó	奉为楷模
fèngxìjūnfá	奉系军阀
fèngxiàn	奉献
fèngxíng	奉行
fúdéjiǎo	佛得角
fódēng	佛灯
fódiǎn	佛典
fódiàn	佛殿
fódùzhú	佛肚竹
fófǎ	佛法
fógāngxiàn	佛冈县
fóguāng	佛光
fóhào	佛号
fójiā	佛家
fójiào	佛教
fójiàojiè	佛教界
fójiàotú	佛教徒
fójīng	佛经
fókān	佛龛
fókǒushéxīn	佛口蛇心
fólāmínggē	佛拉明戈
fóluólǐdá	佛罗里达
fúluólúnsà	佛罗伦萨
fómén	佛门
fóméngtèzhōu	佛蒙特州
fóshān	佛山
fóshì	佛事
fóshǒu	佛手
fóshǒuguā	佛手瓜
fósì	佛寺
fótǎ	佛塔
fótáng	佛堂
fótóuzhuófèn	佛头着粪
fótuó	佛陀
fóxiàng	佛像
fóxiǎo	佛晓
fóxié	佛协
fóxué	佛学
fóyá	佛牙
fóye	佛爷
fózhū	佛珠
fózǔ	佛祖
fǒudìng	否定
fǒudìngxìng	否定性
fǒudìngyīqiè	否定一切
fǒudìngzhīfǒudìng	否定之否定
pǐjítàilái	否极泰来
fǒujué	否决
fǒujuéquán	否决权
fǒurèn	否认
fǒuzé	否则
fūchàngfùsuí	夫唱妇随
fūfù	夫妇
fūguìqīróng	夫贵妻荣
fūjiā	夫家
fūjūn	夫君
fūqī	夫妻
fūqīdiàn	夫妻店
fūquán	夫权
fūrén	夫人
fūróngqīguì	夫荣妻贵
fūxù	夫婿
fūzǐ	夫子
fūzǐmiào	夫子庙
fūzǐzìdào	夫子自道
fūjiào	肤觉
fūpílǎocǎo	肤皮潦草
fūqiǎn	肤浅
fūsè	肤色
fūqǔ	麸曲
fūgǔ	跗骨
fūhuà	孵化
fūhuàchǎng	孵化场
fūhuàlǜ	孵化率
fūshè	敷设
fūyǎn	敷衍
fūyǎnliǎoshì	敷衍了事
fūyǎnsèzé	敷衍塞责
fúlākèsīmàn	弗拉克斯曼
fúlāmínggē	弗拉明戈
fúlānàgēn	弗拉纳根
fúlánkèsī	弗兰克斯
fúléidélǐkǎ	弗雷德里卡
fúléidélǐkè	弗雷德里克
fúlǐméngtè	弗里蒙特
fúluóādēng	弗罗阿登
fúluòlèsīdǎo	弗洛勒斯岛
fúníwǎěr	弗尼瓦尔
fúàn	伏案
fúluóxīluòfū	伏罗希洛夫
fútiē	伏帖
fúchí	扶持
fúlǎoxiéyòu	扶老携幼
fúpín	扶贫
fúruòyìqiáng	扶弱抑强
fúwēijìkùn	扶危济困
fúyǎng	扶养
fúyáozhíshàng	扶摇直上
fúzhèngqūxié	扶正祛邪
fúzhí	扶植
fúzhù	扶助
fúróngchūshuǐ	芙蓉出水
fúxiǎo	拂晓
fúxiùérqù	拂袖而去
fúyīérqù	拂衣而去
fúbīngyì	服兵役
fúcóng	服从
fúdú	服毒
fúfǎ	服法
fúfútiētiē	服服贴贴
fúfútiētiē	服服帖帖
fúmǎn	服满
fúqì	服气
fúrén	服人
fúruǎn	服软
fúsàng	服丧
fúshì	服侍
fúshì	服饰
fúshìdiàn	服饰店
fúshū	服输
fútiē	服贴
fútiē	服帖
fúwù	服务
fúwùbù	服务部
fúwùchù	服务处
fúwùfèi	服务费
fúwùhuà	服务化
fúwùqì	服务器
fúwùqū	服务区
fúwùshè	服务社
fúwùshēng	服务生
fúwùshuǐpíng	服务水平
fúwùtái	服务台
fúwùtuán	服务团
fúwùhángyè	服务行业
fúwùxíng	服务型
fúwùxìng	服务性
fúwùyè	服务业
fúwùyuán	服务员
fúwùzhàn	服务站
fúwùzhōngxīn	服务中心
fúxià	服下
fúxíng	服刑
fúyào	服药
fúyì	服役
fúyīng	服膺
fúyòng	服用
fúzhuāng	服装
fúzhuāngchǎng	服装厂
fúzhuāngdiàn	服装店
fúzhuāngshèjì	服装设计
fúzuì	服罪
fúhuò	俘获
fúlǔ	俘虏
fúshí	氟石
fúdiāo	浮雕
fúdòng	浮动
fúdònghuìlǜ	浮动汇率
fúdòngjià	浮动价
fúdòngjiàgé	浮动价格
fúguānglüèyǐng	浮光掠影
fújiāfànzhái	浮家泛宅
fúkuā	浮夸
fúkuāfēng	浮夸风
fúpíliáocǎo	浮皮潦草
fúpiāo	浮漂
fúqiǎn	浮浅
fúshí	浮石
fúxiǎngliánpiān	浮想联翩
fúgǔxiāngyìng	桴鼓相应
fúlíng	涪陵
fúhào	符号
fúhàochuàn	符号串
fúhàohuà	符号化
fúhàolùn	符号论
fúhàoxué	符号学
fúhàoyǔyán	符号语言
fúhé	符合
fúhélǜ	符合率
fúshānshí	符山石
fúdù	幅度
fúyuán	幅员
fújiàn	福建
fújiànshěng	福建省
fújiāng	福将
fúkèlánqúndǎo	福克兰群岛
fúkèshāní	福克沙尼
fúlì	福利
fúlìfèi	福利费
fúrúdōnghǎi	福如东海
fúsīdíkè	福斯迪克
fúwúshuāngzhì	福无双至
fúxìngsì	福兴寺
fúyīn	福音
fúzhìxīnlíng	福至心灵
fúzhōu	福州
fúzhōushì	福州市
fúzhōuxì	福州戏
fúhé	辐合
fúsàn	辐散
fúshè	辐射
fúshèlǜ	辐射率
fǔgōngzìwèn	抚躬自问
fǔjīnzhuīxī	抚今追昔
fǔmō	抚摸
fǔnòng	抚弄
fǔshùn	抚顺
fǔwèi	抚慰
fǔxù	抚恤
fǔxùjīn	抚恤金
fǔyǎng	抚养
fǔyǎngfèi	抚养费
fǔyù	抚育
fǔxuē	斧削
fǔchōng	俯冲
fǔjiǎo	俯角
fǔkàn	俯瞰
fǔshíjíshì	俯拾即是
fǔshíjiēshì	俯拾皆是
fǔshì	俯视
fǔshǒu	俯首
fǔshǒutiēěr	俯首帖耳
fǔshǒutīngmìng	俯首听命
fǔyǎngwúkuì	俯仰无愧
fǔyǎngyóurén	俯仰由人
fǔyǎngzhījiān	俯仰之间
fǔdǐchōuxīn	釜底抽薪
fǔdǐyóuyú	釜底游鱼
fǔzhōngyóuyú	釜中游鱼
fǔchēxiāngyī	辅车相依
fǔdǎo	辅导
fǔdǎoyuán	辅导员
fǔdǎozhàn	辅导站
fǔzhù	辅助
fǔzhùxìng	辅助性
fǔbài	腐败
fǔchòu	腐臭
fǔè	腐恶
fǔhuà	腐化
fǔhuàduòluò	腐化堕落
fǔlàn	腐烂
fǔshí	腐蚀
fǔshíjì	腐蚀剂
fǔshíxìng	腐蚀性
fǔshú	腐熟
fǔxiǔ	腐朽
fǔzhítǔ	腐殖土
fǔzhízhì	腐殖质
fùài	父爱
fùbèi	父辈
fùběn	父本
fùcízǐxiào	父慈子孝
fùlǎo	父老
fùlǎoxiāngqīn	父老乡亲
fùlǎoxiōngdì	父老兄弟
fùmǔ	父母
fùmǔguān	父母官
fùmǔqīn	父母亲
fùmǔzhībāng	父母之邦
fùnǚ	父女
fùqīn	父亲
fùquán	父权
fùquánzhì	父权制
fùxì	父系
fùxiōng	父兄
fùyè	父业
fùzhí	父执
fùzǐ	父子
fùchū	付出
fùfāng	付方
fùgěi	付给
fùkuǎn	付款
fùpái	付排
fùyìn	付印
fùyǔ	付与
fùzhīdōngliú	付之东流
fùzhīyījù	付之一炬
fùzhīyīxiào	付之一笑
fùzhūdōngliú	付诸东流
fùzhūshíshī	付诸实施
fùzuòyòng	付作用
fùchǎnkē	妇产科
fùchǎnyīyuàn	妇产医院
fùdàihuì	妇代会
fùjiùhuì	妇救会
fùkē	妇科
fùlián	妇联
fùnǚ	妇女
fùnǚjié	妇女节
fùnǚyùndòng	妇女运动
fùrénzhīrén	妇人之仁
fùrújiēzhī	妇孺皆知
fùyòu	妇幼
fùdān	负担
fùdānlǜ	负担率
fùdiànhè	负电荷
fùhào	负号
fùhè	负荷
fùjīngqǐngzuì	负荆请罪
fùshāng	负伤
fùshù	负数
fùxiàoyīng	负效应
fùxīnjiùhuǒ	负薪救火
fùyā	负压
fùyǒu	负有
fùyúwánkàng	负隅顽抗
fùyuē	负约
fùzài	负载
fùzé	负责
fùzérén	负责人
fùzérèn	负责任
fùzézhì	负责制
fùzhài	负债
fùzhàilèilèi	负债累累
fùzhòng	负重
fùbiǎo	附表
fùdài	附带
fùhè	附和
fùhuì	附会
fùjiā	附加
fùjiāfèi	附加费
fùjiāshuì	附加税
fùjiàn	附件
fùjìn	附近
fùlù	附录
fùshàng	附上
fùshè	附设
fùshí	附识
fùyōng	附庸
fùyōngfēngyǎ	附庸风雅
fùzǎi	附载
fùzé	附则
fùshǔ	附属
fùshǔguó	附属国
fùshǔpǐn	附属品
fùshǔwù	附属物
fùshǔxiǎoxué	附属小学
fùshǔzhōngxué	附属中学
fùzhuìxuányóu	附赘悬疣
fùzhuó	附着
fùzhuólì	附着力
fùzhuówù	附着物
fùbì	复辟
fùchá	复查
fùchóu	复仇
fùchū	复出
fùdàndàxué	复旦大学
fùdiàn	复电
fùdú	复读
fùfā	复发
fùgài	复盖
fùhán	复函
fùhé	复合
fùhébǎn	复合板
fùhécáiliào	复合材料
fùhécí	复合词
fùhéféi	复合肥
fùhéféiliào	复合肥料
fùhéhánshù	复合函数
fùhéliàngcí	复合量词
fùhétǐ	复合体
fùhéwù	复合物
fùhéxíng	复合型
fùhéyuányīn	复合元音
fùhé	复核
fùhuì	复会
fùhuó	复活
fùjiāo	复交
fùjù	复句
fùkè	复课
fùlìlǜ	复利率
fùmíngshù	复名数
fùsài	复赛
fùsèguāng	复色光
fùshù	复数
fùsū	复苏
fùxí	复习
fùxiàn	复线
fùxìn	复信
fùxīng	复兴
fùxīngshè	复兴社
fùyì	复议
fùyìn	复印
fùyìnjī	复印机
fùyuán	复员
fùyuánjūnrén	复员军人
fùyuán	复原
fùzá	复杂
fùzáhuà	复杂化
fùzáxìng	复杂性
fùzhì	复制
fùzhìpǐn	复制品
fùzhòng	复种
fùzhòngzhǐshù	复种指数
fùzhuǎn	复转
fùhuì	赴会
fùnán	赴难
fùrèn	赴任
fùtāngdǎohuǒ	赴汤蹈火
fùyàn	赴宴
fùyuē	赴约
fùběn	副本
fùbù	副部
fùchǎnpǐn	副产品
fùchùzhǎng	副处长
fùfǎnyìng	副反应
fùjiāng	副将
fùjiàoshòu	副教授
fùjúzhǎng	副局长
fùkān	副刊
fùpǐn	副品
fùquàn	副券
fùshí	副食
fùshídiàn	副食店
fùshípǐn	副食品
fùshǒu	副手
fùwěiyuánzhǎng	副委员长
fùxiànquān	副线圈
fùxiàozhǎng	副校长
fùyánjiūyuán	副研究员
fùyè	副业
fùzhí	副职
fùzhǔxí	副主席
fùzǒng	副总
fùzǒngcái	副总裁
fùzǒngcānmóuzhǎng	副总参谋长
fùzǒnglǐ	副总理
fùzǒngtǒng	副总统
fùzuòyòng	副作用
fùcháyīlā	富查伊拉
fùfùyǒuyú	富富有余
fùguì	富贵
fùguìbùnéngyín	富贵不能淫
fùguìfúyún	富贵浮云
fùguìrónghuá	富贵荣华
fùguóqiángbīng	富国强兵
fùguóxìngbāng	富国兴邦
fùháo	富豪
fùkědíguó	富可敌国
fùkuàng	富矿
fùlāěrjī	富拉尔基
fùlánkèlín	富兰克林
fùlì	富丽
fùlìtánghuáng	富丽堂皇
fùmín	富民
fùnàfùtí	富纳富提
fùnóngfènzǐ	富农分子
fùqiáng	富强
fùqiángfěn	富强粉
fùráo	富饶
fùshìtōng	富士通
fùyǒu	富有
fùyú	富于
fùyù	富裕
fùzú	富足
fùyǔ	赋予
fùbèishòudí	腹背受敌
fùbù	腹部
fùdì	腹地
fùgǎo	腹稿
fùqiāng	腹腔
fùshé	蝮蛇
fùcháowúwánluǎn	覆巢无完卵
fùgài	覆盖
fùgàicéng	覆盖层
fùgàilǜ	覆盖率
fùgàimiàn	覆盖面
fùmò	覆没
fùpénzhīyuān	覆盆之冤
fùshuǐnánshōu	覆水难收
fùwáng	覆亡
gáxià	噶厦
gāidāng	该当
gāizháo	该着
gāikuò	赅括
gǎibiān	改编
gǎibiàn	改变
gǎicháohuàndài	改朝换代
gǎichēng	改称
gǎidiào	改掉
gǎidòng	改动
gǎiècóngshàn	改恶从善
gǎigǎo	改稿
gǎigé	改革
gǎigéjiā	改革家
gǎigékāifàng	改革开放
gǎigépài	改革派
gǎiguān	改观
gǎiguò	改过
gǎiguòqiānshàn	改过迁善
gǎiguòzìxīn	改过自新
gǎihuàn	改换
gǎijiàn	改建
gǎijìn	改进
gǎikǒu	改口
gǎiliáng	改良
gǎiliángpǐnzhǒng	改良品种
gǎiliángzhǔyì	改良主义
gǎimínghuànxìng	改名换姓
gǎipàn	改判
gǎiqī	改期
gǎirèn	改任
gǎirì	改日
gǎishàn	改善
gǎitiānhuàndì	改天换地
gǎitóu	改头
gǎitóuhuànmiàn	改头换面
gǎiwéi	改为
gǎixián	改弦
gǎixiángēngzhāng	改弦更张
gǎixiányìzhé	改弦易辙
gǎixiéguīzhèng	改邪归正
gǎixiě	改写
gǎiháng	改行
gǎizào	改造
gǎizhèng	改正
gǎizhǒng	改种
gǎizhuāng	改装
gǎizǔ	改组
gǎizuò	改作
gàibǎn	盖板
gàibōpiàn	盖玻片
gàicài	盖菜
gàicéng	盖层
gàichuō	盖戳
gàicíbǎozhèn	盖茨堡镇
gàicíkèěr	盖茨克尔
gàidù	盖度
gàiēnsībālè	盖恩斯巴勒
gàiěrdáyē	盖尔达耶
gàiěrsēnjīxìng	盖尔森基兴
gàifàn	盖饭
gàifángzi	盖房子
gàigài	盖盖
gàiguānlùndìng	盖棺论定
gàijiāofàn	盖浇饭
gàilèyóubǔ	盖勒尤卜
gàilián	盖帘
gàiluòpǔ	盖洛普
gàimào	盖帽
gàinítèlā	盖尼特拉
gàiránxìng	盖然性
gàishì	盖世
gàishìtàibǎo	盖世太保
gàishìwúshuāng	盖世无双
gàishìyīngxióng	盖世英雄
gàishì	盖柿
gàisīkǎiěr	盖斯凯尔
gàitóu	盖头
gàiwǎ	盖瓦
gàiwǎn	盖碗
gàiyìn	盖印
gàizhāng	盖章
gàizi	盖子
gàiguān	概观
gàikuàng	概况
gàikuò	概括
gàikuòxìng	概括性
gàilǜ	概率
gàilǜlùn	概率论
gàiluè	概略
gàilùn	概论
gàimào	概貌
gàimònéngwài	概莫能外
gàiniàn	概念
gàiniànhuà	概念化
gàishù	概述
gàishù	概数
gàishuō	概说
gàisuàn	概算
gàiyào	概要
gānài	干碍
gānbābā	干巴巴
gānbà	干爸
gānbāngbāng	干梆梆
gānbēi	干杯
gānbèi	干贝
gānbiě	干瘪
gānbiěbiě	干瘪瘪
gānbīng	干冰
gànbù	干部
gànbùchù	干部处
gànbùkē	干部科
gàncái	干才
gāncài	干菜
gāncǎo	干草
gāncǎoduī	干草堆
gānchái	干柴
gāncháilièhuǒ	干柴烈火
gāncuì	干脆
gāncuìlìluo	干脆利落
gāndǎlěi	干打垒
gàndàodǐ	干到底
gàndào	干道
gàndehǎo	干得好
gānděng	干等
gāndèngyǎn	干瞪眼
gāndiànchí	干电池
gàndiào	干掉
gāndiē	干爹
gānérzi	干儿子
gānfǎ	干法
gānfàn	干犯
gānfàn	干饭
gānféi	干肥
gānfěn	干粉
gāngānjìngjìng	干干净净
gāngē	干戈
gāngērǎorǎng	干戈扰攘
gāngēsìqǐ	干戈四起
gāngōu	干沟
gāngǔ	干股
gānguǒ	干果
gānhàn	干旱
gānháo	干嚎
gānhào	干号
gānhé	干涸
gānhuā	干花
gànhuó	干活
gānhuò	干货
gānjí	干急
gānjì	干季
gānjiàomǔ	干酵母
gānjié	干结
gànjìn	干劲
gànjìnchōngtiān	干劲冲天
gànjìnshízú	干劲十足
gànjǐng	干警
gānjìng	干净
gānjìnglìluò	干净利落
gānké	干咳
gānkě	干渴
gānkū	干枯
gānlào	干酪
gānlàosù	干酪素
gānlěng	干冷
gānlián	干连
gànliàn	干练
gānliáng	干粮
gānliè	干裂
gànliú	干流
gānliú	干馏
gānlù	干路
gānmā	干妈
gànmá	干吗
gānmiàn	干面
gānniáng	干娘
gānǒu	干呕
gānqīn	干亲
gànqú	干渠
gànqún	干群
gànqúnguānxì	干群关系
gānrǎo	干扰
gānrǎosù	干扰素
gānrǎoyuán	干扰源
gānrèfēng	干热风
gānsè	干涩
gānshè	干涉
gānshèxiànxiàng	干涉现象
gānshèyí	干涉仪
gānshī	干尸
gānshī	干湿
gànshénme	干什么
gànshicháng	干事长
gānshòu	干瘦
gānshuǎng	干爽
gānsong	干松
gānxǐ	干洗
gānxì	干系
gānxìbāo	干细胞
gānxiānguǒ	干鲜果
gànxiàn	干线
gànxiào	干校
gānxiào	干笑
gānxīn	干薪
gànxìngyóu	干性油
gānxiūsuǒ	干休所
gānxuèjiāng	干血浆
gānyéniáng	干爷娘
gānyǔ	干予
gānyù	干预
gànyuán	干员
gānyúnbìrì	干云蔽日
gānzào	干燥
gānzàojī	干燥机
gānzàojì	干燥剂
gānzàoqì	干燥器
gānzàoxiāng	干燥箱
gānzhèng	干政
gānzhī	干支
gānzháojí	干着急
gānbàixiàfēng	甘败下风
gānbài	甘拜
gānbàixiàfēng	甘拜下风
gāndāng	甘当
gānguākǔdì	甘瓜苦蒂
gānjūzhōngyóu	甘居中游
gānkǔ	甘苦
gānkǔyǔgòng	甘苦与共
gānlù	甘露
gānlùchún	甘露醇
gānsù	甘肃
gānsùshěng	甘肃省
gāntián	甘甜
gānxīn	甘心
gānxīnqíngyuàn	甘心情愿
gānxiū	甘休
gānyú	甘于
gānyǔ	甘雨
gānyuàn	甘愿
gānzhīrúyí	甘之如饴
gānzī	甘孜
gǎnchèng	杆秤
gǎnér	杆儿
gǎnjūn	杆菌
gǎntǎ	杆塔
gǎnzhuàng	杆状
gānchángcùnduàn	肝肠寸断
gāndǎn	肝胆
gāndǎnxiāngzhào	肝胆相照
gānnǎotúdì	肝脑涂地
gānzāng	肝脏
gāngà	尴尬
gǎnbēn	赶奔
gǎnbushàng	赶不上
gǎnchāo	赶超
gǎnchē	赶车
gǎndào	赶到
gǎndejí	赶得及
gǎndeshàng	赶得上
gǎnfù	赶赴
gǎnhuí	赶回
gǎnjǐn	赶紧
gǎnjìnshājué	赶尽杀绝
gǎnkuài	赶快
gǎnlàngtóu	赶浪头
gǎnlù	赶路
gǎnpǎo	赶跑
gǎnqiǎo	赶巧
gǎnshàng	赶上
gǎntàng	赶趟
gǎnwǎng	赶往
gǎnyāzīshàngjià	赶鸭子上架
gǎnzǒu	赶走
gǎnbǎhuángdìlāxiàmǎ	敢把皇帝拉下马
gǎndāng	敢当
gǎnnùérbùgǎnyán	敢怒而不敢言
gǎnyú	敢于
gǎnzuò	敢作
gǎnzuògǎndāng	敢作敢当
gǎnzuògǎnwèi	敢作敢为
gǎnzuògǎnwéi	敢做敢为
gǎnchù	感触
gǎndào	感到
gǎndòng	感动
gǎnēndàidé	感恩戴德
gǎnēntúbào	感恩图报
gǎnguāngdù	感光度
gǎnhuà	感化
gǎnjī	感激
gǎnjībùjìn	感激不尽
gǎnjītìlíng	感激涕零
gǎnjué	感觉
gǎnjuédào	感觉到
gǎnjuémáo	感觉毛
gǎnjuéqìguān	感觉器官
gǎnjuéshénjīng	感觉神经
gǎnkǎi	感慨
gǎnkǎiwànduān	感慨万端
gǎnkǎiwànqiān	感慨万千
gǎnkǎixìzhī	感慨系之
gǎnmào	感冒
gǎnmàoyào	感冒药
gǎnqíng	感情
gǎnqíngyòngshì	感情用事
gǎnrǎn	感染
gánrǎnlǜ	感染率
gǎnrén	感人
gǎnrénfèifǔ	感人肺腑
gǎnshòu	感受
gǎntàn	感叹
gǎntànhào	感叹号
gǎntànjù	感叹句
gǎntóngshēnshòu	感同身受
gǎnxiǎng	感想
gǎnxiè	感谢
gǎnxìngqù	感兴趣
gǎnxìng	感性
gǎnxìngrènshi	感性认识
gǎnyìng	感应
gǎnyìngdiànliú	感应电流
gǎnyìngquān	感应圈
gǎnlǎn	橄榄
gǎnlǎnlǜ	橄榄绿
gǎnlǎnshí	橄榄石
gānshí	矸石
gāngdǐsīshān	冈底斯山
gāngbìzìyòng	刚愎自用
gāngdù	刚度
gānggāng	刚刚
gāngguǒhóng	刚果红
gānghǎo	刚好
gāngjìng	刚劲
gāngliè	刚烈
gāngqiáng	刚强
gāngqiǎo	刚巧
gāngróubìngjì	刚柔并济
gāngróuxiāngjì	刚柔相济
gāngshí	刚石
gāngyì	刚毅
gāngzhèngbùē	刚正不阿
gāngzhí	刚直
gāngzhíbùē	刚直不阿
gǎngwèi	岗位
gǎngwèijīntiē	岗位津贴
gǎngwèizérènzhì	岗位责任制
gāngjǔmùzhāng	纲举目张
gānglǐng	纲领
gānglǐngxìng	纲领性
gāngmù	纲目
gāngyào	纲要
gānggài	缸盖
gāngwǎ	缸瓦
gāngbǎn	钢板
gāngbāo	钢包
gāngbǐ	钢笔
gāngbǐtào	钢笔套
gāngbǐzì	钢笔字
gāngbiān	钢鞭
gāngcái	钢材
gāngchā	钢叉
gāngchéng	钢城
gāngchǐ	钢尺
gāngchuāng	钢窗
gāngdāo	钢刀
gāngdìng	钢锭
gāngdōu	钢都
gānggū	钢箍
gānggǔ	钢骨
gānggǔshuǐní	钢骨水泥
gāngguǎn	钢管
gāngguǐ	钢轨
gānghuā	钢花
gānghuāne	钢花呢
gānghuà	钢化
gānghuàbōli	钢化玻璃
gāngjiǎoxiàn	钢绞线
gāngjiégòu	钢结构
gāngjīn	钢筋
gāngjīnhùnníngtǔ	钢筋混凝土
gāngjīnshuǐní	钢筋水泥
gāngjīngtiěgǔ	钢筋铁骨
gāngjīng	钢精
gāngjù	钢锯
gāngkuī	钢盔
gānglǎn	钢缆
gāngliáng	钢梁
gānglǐng	钢领
gāngpào	钢炮
gāngpī	钢坯
gāngpíng	钢瓶
gāngqiān	钢钎
gāngqiāng	钢枪
gāngqín	钢琴
gāngqínjiā	钢琴家
gāngqínqǔ	钢琴曲
gāngquān	钢圈
gāngshā	钢砂
gāngshuǐ	钢水
gāngsī	钢丝
gāngsīchuáng	钢丝床
gāngsījù	钢丝锯
gāngsīquān	钢丝圈
gāngsīshéng	钢丝绳
gāngsuǒ	钢索
gāngtiáo	钢条
gāngtiě	钢铁
gāngtiěchángchéng	钢铁长城
gāngtiěchǎng	钢铁厂
gāngyìn	钢印
gāngzhā	钢渣
gāngzhēn	钢针
gāngzhǐ	钢纸
gāngzhǒng	钢种
gāngzhū	钢珠
gǎngào	港澳
gǎngàobàn	港澳办
gǎngàobàngōngshì	港澳办公室
gǎngàotái	港澳台
gǎngàotóngbāo	港澳同胞
gǎngfǔ	港府
gǎngkǒu	港口
gǎngkǒuchéngshì	港口城市
gǎngqū	港区
gǎngshāng	港商
gǎngtái	港台
gǎngwù	港务
gǎngwùjú	港务局
gàngfū	杠夫
gànggǎn	杠杆
gànglíng	杠铃
gāoáng	高昂
gāobǎoxiāng	高堡乡
gāobiāozhǔn	高标准
gāobùkěpān	高不可攀
gāocān	高参
gāocéng	高层
gāocéngjiànzhù	高层建筑
gāochǎn	高产
gāochàng	高唱
gāochāo	高超
gāocháo	高潮
gāochēsìmǎ	高车驷马
gāochù	高处
gāochùbùshènghán	高处不胜寒
gāodà	高大
gāodànbái	高蛋白
gāodàng	高档
gāodàngshāngpǐn	高档商品
gāoděng	高等
gāoděngjiàoyù	高等教育
gāoděngxuéxiào	高等学校
gāoděngyuànxiào	高等院校
gāodī	高低
gāodì	高地
gāodiào	高调
gāodù	高度
gāodùjì	高度计
gāoěrchákè	高尔察克
gāoěrfū	高尔夫
gāoěrfūqiú	高尔夫球
gāoěrfūqiúchǎng	高尔夫球场
gāofēn	高分
gāofēnbiànlǜ	高分辨率
gāofēndīnéng	高分低能
gāofēnzǐ	高分子
gāofēngliàngjié	高风亮节
gāofēng	高峰
gāofēnghuì	高峰会
gāofēngqī	高峰期
gāogàn	高干
gāogànzǐdì	高干子弟
gāogǎn	高杆
gāogāoguàqǐ	高高挂起
gāogāoxìngxìng	高高兴兴
gāogāozàishàng	高高在上
gāogēměngjìn	高歌猛进
gāoguānhòulù	高官厚禄
gāohán	高寒
gāohánqū	高寒区
gāohū	高呼
gāojí	高级
gāojígōngchéngshī	高级工程师
gāojízhīshífènzǐ	高级知识分子
gāojìshù	高技术
gāojìshùchǎnyè	高技术产业
gāojià	高价
gāojiàshēng	高价生
gāojiàn	高见
gāojiào	高教
gāojiàobù	高教部
gāojīngjiān	高精尖
gāogōulì	高句丽
gāokǎlùlǐ	高卡路里
gāokǎo	高考
gāokējì	高科技
gāokōng	高空
gāokōngcáo	高空槽
gāokōngzuòyè	高空作业
gāolíshēn	高丽参
gāolìdài	高利贷
gāolìlǜ	高利率
gāolǐngshí	高岭石
gāolíng	高龄
gāolóudàshà	高楼大厦
gāolùn	高论
gāoměnggāng	高锰钢
gāomìdù	高密度
gāonán	高难
gāonándù	高难度
gāonéng	高能
gāonóngdù	高浓度
gāopào	高炮
gāopéngmǎnzuò	高朋满座
gāoqìyā	高气压
gāoqìyāqū	高气压区
gāoqiáng	高强
gāoqiángdù	高强度
gāorényīchóu	高人一筹
gāorényīděng	高人一等
gāoshān	高山
gāoshānfǎnyìng	高山反应
gāoshānjǐngxíng	高山景行
gāoshānliúshuǐ	高山流水
gāoshānyǎngzhǐ	高山仰止
gāoshàng	高尚
gāoshèpào	高射炮
gāoshēnmòcè	高深莫测
gāoshēng	高声
gāoshìkuòbù	高视阔步
gāoshǒu	高手
gāoshuǐpíng	高水平
gāosǒngrùyún	高耸入云
gāosù	高速
gāosùdù	高速度
gāosùgāng	高速钢
